行号,国家,日期,事件名称,URL,可访问,HTTP状态码,备注,来源分类,域名,权威性
134,Germany,2006-05,First official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
135,Germany,2010-07,Official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
136,Germany,2010-07,Joint communiqué on advancing strategic partnership,https://www.chinadaily.com.cn/china/2010-07/16/content_10118341.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
137,Germany,2014-03,State visit to Germany,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
138,Germany,2014-03,Comprehensive strategic partnership established,https://www.bundesregierung.de/breg-en/service/archive/archive/joint-declaration-between-germany-and-china-460244,是,200,可访问,德国联邦政府,bundesregierung.de,官方/政府
139,Germany,2015-03,Germany applies to join AIIB as founding member,http://www.ecns.cn/business/2015/03-18/158420.shtml,是,200,可访问,中国新闻社,ecns.cn,官方媒体
140,Germany,2016-08,Midea acquires Kuka amid technology concerns,https://www.reuters.com/article/us-kuka-midea-idUSKCN0ZV1HM,否,0,连接超时,路透社(权威),reuters.com,权威国际媒体
141,Germany,2018-10,BMW to raise stake in BMW Brilliance Automotive JV to 75%,https://www.chinadaily.com.cn/a/201810/12/WS5bbfdf53a310eff303281e9d.html,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
142,Germany,2019-09,Official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
143,Germany,2020-12,EU-China Comprehensive Agreement on Investment concluded,https://trade.ec.europa.eu/doclib/press/index.asp?id=2233,否,404,HTTP 404 页面不存在,其他来源,trade.ec.europa.eu,待确认
144,Germany,2022-02,BMW acquires 75% stake in China joint venture as ownership caps lift,https://english.news.cn/20220211/84c18d559ed947cc80b6953347d484c7/c.html,是,200,可访问,新华社,english.news.cn,官方媒体
145,Germany,2022-11,Official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
146,Germany,2022-11,Germany blocks Elmos Semiconductor fab sale to Chinese-owned Silex,https://www.elmos.com/english/about-elmos/investor/financial-news/news/elmos-sale-of-the-elmos-wafer-fab-to-silex-prohibited.html,是,200,可访问,其他来源,elmos.com,待确认
147,Germany,2023-06,German government China strategy released,https://www.auswaertiges-amt.de/blob/2608580/49d50fecc479304c3da2e2079c55e106/china-strategie-en-data.pdf,是,200,重定向至: https://www.auswaertiges-amt.de/resource/blob/2608580/49d50fecc479304c3da2e2079c,德国外交部,auswaertiges-amt.de,官方/政府
148,Germany,2024-04,Official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
149,Germany,2025-11,4th China-Germany High-Level Financial Dialogue held in Beijing,https://www.globaltimes.cn/page/202511/1348431.shtml,是,200,可访问,环球时报,globaltimes.cn,官方媒体
150,India,2002-01,Official visit to India,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
151,India,2003-06,India-China Declaration on Principles for Relations and Comprehensive Cooperation,https://www.ifri.org/sites/default/files/migrated_files/documents/atoms/files/asievisions34zhangli.pdf,是,200,可访问,法国国际关系研究所(学术),ifri.org,学术
152,India,2003-06,Vajpayee Visits China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
153,India,2005-04,India-China Strategic Partnership and Boundary Political Parameters Agreement,http://www.commonlii.org/in/other/treaties/INTSer/2005/1.html,否,403,HTTP 403 禁止访问(可能需要特殊权限),CommonLII(法律学术),commonlii.org,学术
154,India,2005-04,Official visit to India,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
155,India,2006-05,India-China defence ministers MOU,https://publications.parliament.uk/pa/cm200607/cmselect/cmfaff/55/55.pdf,否,403,HTTP 403 禁止访问(可能需要特殊权限),英国议会,publications.parliament.uk,其他
156,India,2006-11,State visit to India,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
157,India,2006-11,Hu Jintao visits India,https://www.chinadaily.com.cn/china/2006-11/21/content_738997.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
158,India,2007-12,China-India Hand-in-Hand 2007 joint anti-terror military training,http://www.cctv.com/english/20071221/107164.shtml,是,200,可访问,央视,cctv.com,官方媒体
159,India,2008-01,Official visit to China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
160,India,2010-12,Wen Jiabao's official visit to India,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
161,India,2013-04,Depsang Standoff (Daulat Beg Oldi incursion),https://news.cntv.cn/2013/04/24/ARTI1366768418091127.shtml,是,200,可访问,新华社,news.cntv.cn,官方媒体
162,India,2013-05,Li Keqiang Visits India,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
163,India,2014-09,Chumar-Demchok Standoff during Xi visit,https://www.uscc.gov/sites/default/files/2020-07/Conflict_on_Sino-Indian_Border.pdf,是,200,可访问,美中经济安全审查委员会,uscc.gov,学术
164,India,2014-09,State visit to India,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
165,India,2015-05,Official visit to China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
166,India,2016-09,Bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
167,India,2017-06,Doklam Standoff,https://news.cctv.com/2017/07/11/ARTIy0ux7UIDvfsiFK7EtUaV170711.shtml,是,200,可访问,央视,news.cctv.com,官方媒体
168,India,2017-06,Bilateral meeting on sidelines of Shanghai Cooperation Organisation Summit,https://www.gov.cn/xinwen/2017-06/10/content_5201352.htm#1,是,200,可访问,中国政府网,gov.cn,官方/政府
169,India,2017-08,Doklam Standoff Disengagement,http://news.xinhuanet.com/english/2017-08/28/c_136562103.htm,是,200,重定向至: http://www.xinhuanet.com//english/2017-08/28/c_136562103.htm,新华社,news.xinhuanet.com,官方媒体
170,India,2018-04,Wuhan Informal Summit,http://english.www.gov.cn/news/top_news/2018/04/29/content_281476128171880.htm,是,200,可访问,中国政府网,english.www.gov.cn,官方/政府
171,India,2019-08,India revokes Article 370 in Kashmir; China expresses concern,http://www.xinhuanet.com/english/2019-08/09/c_138294555.htm,是,200,可访问,新华社,xinhuanet.com,官方媒体
172,India,2019-10,Chennai Summit,https://www.mea.gov.in/press-releases?dtl/31938/2nd_IndiaChina_Informal_Summit,是,200,可访问,印度外交部,mea.gov.in,官方/政府
173,India,2020-06,"India bans 59 Chinese apps (TikTok, WeChat, etc.)",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1635206,是,200,重定向至: https://www.pib.gov.in/ErrorPage.html?aspxerrorpath=/PressReleseDetailm.aspx,印度新闻信息局,pib.gov.in,官方/政府
174,India,2020-06,Galwan Valley Clash,https://in.china-embassy.gov.cn/eng/gdxw/202006/t20200620_2144939.htm,是,200,可访问,中国驻外使领馆,in.china-embassy.gov.cn,官方/政府
175,India,2020-11,Bilateral meeting on sidelines of Shanghai Cooperation Organisation Summit (virtual),https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
176,India,2021-02,Pangong Tso disengagement agreement,https://www.mfa.gov.cn/web/fyrbt_673021/jzhsl_673025/202102/t20210210_9604764.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
177,India,2024-10,India-China patrolling agreement (Depsang/Demchok),https://www.mea.gov.in/lok-sabha.htm?dtl/39008/QUESTION_NO_843_INDOCHINA_AGREEMENT_ON_BORDERRELATED_ISSUES,是,200,重定向至: https://www.mea.gov.in/lok-sabha?dtl/39008/QUESTION_NO_843_INDOCHINA_AGREEMENT_O,印度外交部,mea.gov.in,官方/政府
178,India,2024-10,Bilateral meeting on sidelines of BRICS Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
179,India,2025-04,75th anniversary of diplomatic relations congratulatory messages,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
180,India,2025-08,Xi-Modi bilateral meeting on sidelines of SCO Tianjin,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677220/sbgx_677224/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
181,Indonesia,2002-03,State visit to China,http://www.china.org.cn/english/2002/Mar/29372.htm,是,200,可访问,中国网,china.org.cn,官方媒体
182,Indonesia,2005-04,Strategic Partnership,https://www.fmprc.gov.cn/ziliao_674904/zt_674979/ywzt_675099/2005zt_675275/hjtcf_675301/,是,200,重定向至: https://www.mfa.gov.cn/web/system/index_17321.shtml,中国外交部(旧域名),fmprc.gov.cn,官方/政府
183,Indonesia,2005-04,Hu Visits Indonesia,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
184,Indonesia,2005-07,State visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
185,Indonesia,2006-07,Yudhoyono Visits China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
186,Indonesia,2006-11,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
187,Indonesia,2007-09,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
188,Indonesia,2009-06,Indonesia detains 75 Chinese fishermen,http://www.chinadaily.com.cn/china/2009-07/12/content_8417325_3.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
189,Indonesia,2009-11,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
190,Indonesia,2011-04,Official visit to Indonesia,https://en.antaranews.com/news/70845/chinese-pms-visit-fosters-bilateral-ties,是,200,可访问,新闻媒体,en.antaranews.com,其他
191,Indonesia,2012-03,State visit to China,https://www.chinadaily.com.cn/china/2012-03/24/content_14902840.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
192,Indonesia,2012-03,Bilateral meeting on sidelines of Nuclear Security Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
193,Indonesia,2012-09,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
194,Indonesia,2013-10,China-Indonesia strategic partnership,https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408250.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
195,Indonesia,2013-10,State visit to Indonesia and proposal of Maritime Silk Road,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
196,Indonesia,2013-10,Maritime Silk Road,http://www.xinhuanet.com/english/2018-10/03/c_137509175.htm,是,200,可访问,新华社,xinhuanet.com,官方媒体
197,Indonesia,2014-11,State visit to China and attendance at APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
198,Indonesia,2014-11,Indonesia signs MoU to join AIIB as prospective founding member,https://www.chinadaily.com.cn/business/2014-11/28/content_18992379.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
199,Indonesia,2015-03,Jokowi BRI Visit,https://id.china-embassy.gov.cn/eng/sgdt/201909/t20190902_2049102.htm,是,200,可访问,中国驻外使领馆,id.china-embassy.gov.cn,官方/政府
200,Indonesia,2015-03,Bilateral meeting on sidelines of Boao Forum for Asia,https://id.china-embassy.gov.cn/eng/ztbd/tdm22/,是,200,可访问,中国驻外使领馆,id.china-embassy.gov.cn,官方/政府
201,Indonesia,2015-04,Bilateral meeting on sidelines of Bandung Conference commemoration,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
202,Indonesia,2015-04,Bilateral meeting on sidelines of Asian-African Summit,https://covid-19.chinadaily.com.cn/world/2015xivisitpse/2015-04/22/content_20517334.htm,是,200,可访问,中国日报,covid-19.chinadaily.com.cn,官方媒体
203,Indonesia,2015-10,Jakarta-Bandung HSR agreement,https://english.news.cn/20221116/2478e0fce3c54115891760a908af6ea8/c.html,是,200,可访问,新华社,english.news.cn,官方媒体
204,Indonesia,2015-11,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
205,Indonesia,2016-06,Natuna Fishing Dispute,https://www.cambridge.org/core/books/abs/chinas-naval-operations-in-the-south-china-sea/chinas-natuna-island-fishing-dispute-with-indonesia/2584825B981358C8B9C5FE5DF8FBA390,是,200,可访问,剑桥大学(学术),cambridge.org,学术
206,Indonesia,2016-09,State visit to China and attendance at G20 Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
207,Indonesia,2017-05,Attendance at Belt and Road Forum for International Cooperation,http://www.xinhuanet.com/english/2017-05/14/c_136282635.htm,否,404,HTTP 404 页面不存在,新华社,xinhuanet.com,官方媒体
208,Indonesia,2017-11,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
209,Indonesia,2018-05,China participates in Indonesia-hosted Komodo-2018 multilateral naval exercise,http://eng.mod.gov.cn/xb/News_213114/TopStories/4812880.html,是,200,可访问,国防部,eng.mod.gov.cn,官方/政府
210,Indonesia,2018-11,Bilateral meeting on sidelines of APEC Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
211,Indonesia,2019-06,Bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
212,Indonesia,2020-01,Indonesia deploys ships/jets to Natuna,https://il.china-embassy.gov.cn/eng//fyrth/202001/t20200108_1803031.htm,是,200,可访问,中国驻外使领馆,il.china-embassy.gov.cn,官方/政府
213,Indonesia,2020-03,COVID in Indonesia,https://www.bbc.com/news/world-asia-51728297,否,0,连接超时,BBC(权威),bbc.com,权威国际媒体
214,Indonesia,2020-11,Virtual bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
215,Indonesia,2021-05,PLA Navy dispatched three salvage ships to assist Indonesia after the sinking of submarine KRI Nanggala-402,https://www.xinhuanet.com/mil/2021-06/03/c_1211184659.htm,是,200,可访问,新华社,xinhuanet.com,官方媒体
216,Indonesia,2021-10,Virtual bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
217,Indonesia,2022-07,Jokowi's State Visit to China (G20 discussion),http://www.news.cn/english/2022-07/26/c_1310646092.htm,否,404,HTTP 404 页面不存在,新华社,news.cn,官方媒体
218,Indonesia,2022-11,Bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
219,Indonesia,2023-07,State visit to China and attendance at opening ceremony of 31st FISU World University Games,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
220,Indonesia,2023-10,Jakarta-Bandung HSR starts operation,https://english.news.cn/20231015/61da5a0042ff4f51a47cf1aea58a9bae/c.html,是,200,可访问,新华社,english.news.cn,官方媒体
221,Indonesia,2023-10,Attendance at Belt and Road Forum for International Cooperation,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
222,Indonesia,2024-04,Indonesian President-elect Prabowo visits China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
223,Indonesia,2024-10,Vice President Han Zheng attends Prabowo inauguration and visits Indonesia,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
224,Indonesia,2024-11,State visit to China by Prabowo,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
225,Indonesia,2025-05,Li Qiang official visit to Indonesia,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
226,Indonesia,2025-09,President Prabowo visits China for WWII 80th anniversary commemoration,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
227,Indonesia,2025-12,CPPCC Chairman Wang Huning official friendly visit to Indonesia,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677244/sbgx_677248/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
228,Iran,2002-04,State visit to Iran,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677172/xgxw_677178/200204/t20020421_8006608.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
229,Iran,2004-10,Sinopec signs US$70 billion Yadavaran oil and gas deal,http://www.chinadaily.com.cn/english/doc/2004-10/31/content_387140.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
230,Iran,2006-06,Ahmadinejad attends SCO summit and meets Hu Jintao in Shanghai,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_677172/xgxw_677178/200606/t20060616_8006637.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
231,Iran,2006-12,UNSC Resolution 1737 sanctions on Iran (China votes in favour),https://main.un.org/securitycouncil/zh/s/res/1737-%282006%29,是,200,可访问,联合国,main.un.org,学术
232,Iran,2010-06,UNSC Resolution 1929 fourth round sanctions on Iran (China votes in favour),https://main.un.org/securitycouncil/en/s/res/1929-%282010%29,是,200,可访问,联合国,main.un.org,学术
233,Iran,2014-05,State visit to China and attendance at CICA summit,https://tl.china-embassy.gov.cn/eng/xwdt/201405/t20140513_1140778.htm,是,200,可访问,中国驻外使领馆,tl.china-embassy.gov.cn,官方/政府
234,Iran,2015-07,Joint Comprehensive Plan of Action (JCPOA) signed,https://2009-2017.state.gov/e/eb/tfs/spi/iran/jcpoa/,是,200,可访问,美国国务院,2009-2017.state.gov,官方/政府
235,Iran,2016-01,State visit to Iran and establishment of comprehensive strategic partnership,https://www.chinadaily.com.cn/world/2016xivisitmiddleeast/2016-01/23/content_23215522.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
236,Iran,2018-05,US withdraws from JCPOA and reimposes sanctions; China opposes unilateral sanctions,https://news.cctv.com/2018/05/08/ARTIhtuVrZhXJbHgtFqNwRob180508.shtml,是,200,可访问,央视,news.cctv.com,官方媒体
237,Iran,2020-03,China donates COVID-19 medical supplies to Iran,http://eng.mod.gov.cn/news/2020-03/20/content_4862264.htm,是,200,重定向至: http://eng.mod.gov.cn/xb/News_213114/TopStories/4862264.html,国防部,eng.mod.gov.cn,官方/政府
238,Iran,2021-03,China and Iran sign 25-year comprehensive cooperation plan,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677172/xgxw_677178/202103/t20210328_9181805.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
239,Iran,2022-01,China and Iran launch implementation of comprehensive cooperation plan,https://news.cgtn.com/news/2022-01-15/Chinese-FM-holds-talks-with-Iranian-counterpart-on-bilateral-ties-16PLyfyuh1K/index.html,是,200,可访问,中国环球电视网,news.cgtn.com,官方媒体
240,Iran,2023-02,State visit to China,http://en.people.cn/n3/2023/0212/c90000-10206538.html,是,200,可访问,人民日报/人民网,en.people.cn,官方媒体
241,Iran,2023-03,China-brokered Saudi-Iran rapprochement restores diplomatic ties,https://www.mfa.gov.cn/mfa_eng/zy/gb/202405/t20240531_11367487.html,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
242,Iran,2023-07,Iran officially becomes full member of Shanghai Cooperation Organization,https://news.cgtn.com/news/2023-07-05/VHJhbnNjcmlwdDczMzA2/index.html,是,200,可访问,中国环球电视网,news.cgtn.com,官方媒体
243,Iran,2024-12,Official visit to Iran,https://www.mfa.gov.cn/wjdt_674879/wsrc_674883/202412/t20241202_11536378.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
244,Iran,2025-09,State visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_677172/sbgx_677176/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
245,Italy,2004-05,Official visit to Italy,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679882/sbgx_679886/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
246,Italy,2004-05,Comprehensive strategic partnership established,http://www.chinadaily.com.cn/english/doc/2004-05/09/content_329160.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
247,Italy,2008-08,Attends Beijing Olympics opening ceremony,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679882/sbgx_679886/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
248,Italy,2010-10,Italy-China cultural cooperation programme,http://www.china.org.cn/world/2010-10/08/content_21076435.htm,是,200,可访问,中国网,china.org.cn,官方媒体
249,Italy,2014-06,Official visit to Italy,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679882/sbgx_679886/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
250,Italy,2015-03,ChemChina agrees to acquire Pirelli,https://www.sinochem.com/Portals/164/zt/portal/sj/webinfo/2015/03/1427071078121061.htm,是,200,可访问,其他来源,sinochem.com,待确认
251,Italy,2019-03,State visit to Italy,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679882/sbgx_679886/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
252,Italy,2019-03,Belt and Road Initiative MoU signed,https://www.iai.it/en/publications/c03/belt-and-road-initiative-italy-ports-genoa-and-trieste,是,200,可访问,IAI(国际事务研究院),iai.it,学术
253,Italy,2019-03,Deals worth 2.5 billion euros signed,https://www.reuters.com/article/us-italy-china-dimaio-idUSKCN1R40I0,否,0,连接超时,路透社(权威),reuters.com,权威国际媒体
254,Italy,2020-03,China sends COVID-19 medical aid and experts,http://www.xinhuanet.com/english/2020-03/12/c_138870909.htm,是,200,可访问,新华社,xinhuanet.com,官方媒体
255,Italy,2020-10,Italy blocks Fastweb-Huawei 5G core deal (de-facto restriction),https://www.rcrwireless.com/20201027/5g/italian-government-shuts-down-fastwebs-5g-deal-with-huawei,否,403,HTTP 403 禁止访问(可能需要特殊权限),RCR Wireless News,rcrwireless.com,其他
256,Italy,2021-11,Italy and China agree on second round of third-party market cooperation projects,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3291_664540/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
257,Italy,2023-09,Italy-China Intergovernmental Committee meeting,https://un.china-mission.gov.cn/eng/zgyw/202312/t20231215_11203016.htm,是,200,可访问,中国政府网,un.china-mission.gov.cn,官方/政府
258,Italy,2023-12,Italy withdraws from Belt and Road Initiative,https://www.iai.it/en/publications/c05/timing-everything-italy-withdraws-belt-and-road-initiative,是,200,可访问,IAI(国际事务研究院),iai.it,学术
259,Italy,2024-07,Official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679882/sbgx_679886/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
260,Italy,2024-07,2024-2027 action plan on strengthening comprehensive strategic partnership,https://www.gov.cn/yaowen/liebiao/202407/content_6965137.htm,是,200,可访问,中国政府网,gov.cn,官方/政府
261,Japan,2001-10,Working visit to China for bilateral summit,https://www.mofa.go.jp/region/asia-paci/china/visit0110.html,否,403,HTTP 403 禁止访问(可能需要特殊权限),日本外务省,mofa.go.jp,官方/政府
262,Japan,2003-06,Meeting on sidelines of G8 Summit in Evian,http://www.china.org.cn/english/international/174652.htm,是,200,可访问,中国网,china.org.cn,官方媒体
263,Japan,2003-10,Meeting on sidelines of APEC Summit in Bangkok,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_676836/sbgx_676840/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
264,Japan,2004-11,Meeting on sidelines of APEC Summit in Santiago,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/yz_676205/1206_676836/sbgx_676840/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
